Objects
100
,,Global Angle drone1:drone1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
334,0,-0.043567,-0.001727,1.516179,-607.489929,-1522.027466,65.111725
335,0,-0.043743,-0.001462,1.516391,-607.515381,-1522.040283,65.090981
336,0,-0.043938,-0.001596,1.516511,-607.506042,-1522.037598,65.093964
337,0,-0.045197,-0.002490,1.516899,-607.503479,-1522.035278,65.091644
338,0,-0.045099,-0.002802,1.516962,-607.490784,-1522.015381,65.120010
339,0,-0.044600,-0.001950,1.516296,-607.468018,-1522.013306,65.125404
340,0,-0.043192,-0.000742,1.516331,-607.513062,-1522.035278,65.090302
341,0,-0.043923,-0.001583,1.516274,-607.513245,-1522.031860,65.093414
342,0,-0.043734,-0.001340,1.516904,-607.510864,-1522.035034,65.101151
343,0,-0.044222,-0.001144,1.517058,-607.553345,-1522.075684,65.054520
344,0,-0.044370,-0.001933,1.516844,-607.529602,-1522.053833,65.076805
345,0,-0.043842,-0.001933,1.516807,-607.520142,-1522.033569,65.107918
346,0,-0.046298,-0.005834,1.516457,-607.473877,-1522.009399,65.088737
347,0,-0.044365,-0.001953,1.516560,-607.526550,-1522.045776,65.090698
348,0,-0.044876,-0.002490,1.516824,-607.531128,-1522.046021,65.086746
